phase_name,dt_s,t_cmd_nm,grade,p_aux_w,time_s,v_mps,v_kph,a_mps2,soc,motor_torque_actual_nm,motor_speed_rpm,battery_power_w,cumulative_energy_kwh,f_roll_n,f_aero_n,f_grade_n,f_drive_n,f_net_n
平路加速,0.1,180.0,0.0,800.0,9.89999999999998,25.276814026451962,90.99653049522706,1.5664432021955221,0.8469237290009496,103.92152387178308,7397.000134893222,88027.64341935347,0.18457625994300783,194.23800000000003,246.58798393497165,0.0,3025.4572675575555,2584.631283622584
平路加速,0.1,180.0,0.0,800.0,9.99999999999998,25.432135064211888,91.5556862311628,1.5532103775992567,0.8468829772939688,103.27750613892958,7442.453242079105,88023.68707852766,0.18702136236185582,194.23800000000003,249.67291858653616,0.0,3006.7080416252884,2562.7971230387525
平路匀速,0.1,12.0,0.0,800.0,10.09999999999998,25.426217858825307,91.5343842917711,-0.05917205386580804,0.8468779011191652,12.0,7440.721632668324,10964.53757578233,0.18732593285007199,194.23800000000003,252.75072758827454,0.0,349.35483870967744,-97.63388887859713
平路匀速,0.1,12.0,0.0,800.0,10.19999999999998,25.42030778068495,91.51310801046583,-0.059100781403564895,0.8468728260387124,12.0,7438.992108972985,10962.173777882486,0.1876304376772354,194.23800000000003,252.63312802555282,0.0,349.35483870967744,-97.51628931587541
平路匀速,0.1,12.0,0.0,800.0,10.29999999999998,25.414404819550615,91.49185735038222,-0.05902961134335527,0.8468677520512926,12.0,7437.264667996395,10959.812826835298,0.18793487692242525,194.23800000000003,252.5156974261934,0.0,349.35483870967744,-97.398858716516
平路匀速,0.1,12.0,0.0,800.0,10.399999999999979,25.40850896520041,91.47063227472148,-0.058958543502036775,0.8468626791555895,12.0,7435.539306747222,10957.45471855122,0.18823925066460723,194.23800000000003,252.39843548803637,0.0,349.35483870967744,-97.28159677835896
平路匀速,0.1,12.0,0.0,800.0,10.499999999999979,25.40262020743072,91.44943274675059,-0.05888757769692887,0.8468576073502891,12.0,7433.816022239483,10955.099448948014,0.18854355898263356,194.23800000000003,252.2813419095931,0.0,349.35483870967744,-97.16450319991569
平路匀速,0.1,12.0,0.0,800.0,10.599999999999978,25.39673853605615,91.42825872980215,-0.05881671374567077,0.846852536634079,12.0,7432.094811492531,10952.747013950742,0.1888478019552433,194.23800000000003,252.16441639004464,0.0,349.35483870967744,-97.04757768036723
平路匀速,0.1,12.0,0.0,800.0,10.699999999999978,25.39086394090951,91.40711018727424,-0.05874595146639905,0.8468474670056487,12.0,7430.375671531036,10950.397409491736,0.18915197966106254,194.23800000000003,252.04765862924017,0.0,349.35483870967744,-96.93081991956277
平路匀速,0.1,12.0,0.0,800.0,10.799999999999978,25.384996411841755,91.38598708263032,-0.05867529067757005,0.8468423984636897,12.0,7428.658599384987,10948.050631510594,0.18945609217860448,194.23800000000003,251.93106832769476,0.0,349.35483870967744,-96.81422961801735
